run,tag,step,value,time
train_bonds_angles_90,Loss/KL_train,94,7.564913175883703e-06,1754315621.4392405
train_bonds_angles_90,Loss/KL_train,95,9.275295269617345e-06,1754315675.5650988
train_bonds_angles_90,Loss/KL_train,96,8.36171875562286e-06,1754315717.7566795
train_bonds_angles_90,Loss/KL_train,97,0.00018996813741978258,1754315760.0704072
train_bonds_angles_90,Loss/KL_train,98,6.388290057657287e-05,1754315802.4428942
train_bonds_angles_90,Loss/KL_train,99,7.835030373826157e-06,1754315844.83794
train_bonds_angles_90,Loss/KL_train,100,2.2514299416798167e-05,1754315898.4208176
train_bonds_angles_90,Loss/KL_train,101,7.666511919524055e-06,1754315940.5774713
train_bonds_angles_90,Loss/KL_train,102,7.517771337006707e-06,1754315982.9470282
train_bonds_angles_90,Loss/KL_train,103,5.187473652767949e-05,1754316025.2757845
train_bonds_angles_90,Loss/KL_train,104,0.00015675804752390832,1754316067.5226617
train_bonds_angles_90,Loss/KL_train,105,9.70553264778573e-06,1754316121.0297766
train_bonds_angles_90,Loss/KL_train,106,4.290640208637342e-05,1754316164.029468
train_bonds_angles_90,Loss/KL_train,107,6.885934999445453e-05,1754316206.546177
train_bonds_angles_90,Loss/KL_train,108,2.3043156033963896e-05,1754316249.0399325
train_bonds_angles_90,Loss/KL_train,109,3.357773312018253e-05,1754316291.9255958
train_bonds_angles_90,Loss/KL_train,110,3.777579695452005e-05,1754316495.1680348
train_bonds_angles_90,Loss/KL_train,111,1.5227632502501365e-05,1754316547.544
train_bonds_angles_90,Loss/KL_train,112,6.242773906706134e-06,1754316591.183159
